SubhaloID,StellarMass,GasMass,SFR,GasMetallicity,StarMetallicity
270080,75398650000.0,42378953000.0,0.9575749,0.028983524,0.024317145
270964,75126420000.0,119681920000.0,0.029475017,0.009251991,0.026347285
270965,74689930000.0,36885365000.0,0.01375311,0.010309007,0.020928692
270967,48090560000.0,27727931000.0,1.2988782,0.014009991,0.020026637
271730,27044575000.0,33998152000.0,0.1818189,0.0116684465,0.022370962
271731,38394724000.0,5781175300.0,1.4133437,0.0269536,0.026029915
273142,30219092000.0,77244110000.0,7.4279904,0.016653229,0.017227676
273995,27494710000.0,49221853000.0,2.0084112,0.021126796,0.01830873
274791,38243877000.0,36562430000.0,2.0233319,0.026795724,0.02206198
275534,39227510000.0,880508400.0,0.23455031,0.007667769,0.029453862
278304,32747342000.0,54632520000.0,2.1719077,0.014222522,0.018526137
279708,62571823000.0,22160208000.0,1.8459424,0.016314821,0.023879834
279709,52409980000.0,23827250000.0,10.981003,0.026818065,0.02120812
281702,76204910000.0,45425440000.0,9.747833,0.013695586,0.026071249
283638,32328403000.0,10957363000.0,0.025370589,0.007051383,0.025873065
284317,28111340000.0,67588010000.0,2.6642776,0.023190696,0.020162107
284319,25863643000.0,613698400.0,0.087831736,0.053902633,0.028885758
284949,30832906000.0,49115165000.0,3.759577,0.020766007,0.017532814
286696,64474305000.0,14338513000.0,0.020719362,0.012302089,0.023691395
287338,74896580000.0,15816178000.0,3.4219635,0.022704873,0.02343415
288016,46522070000.0,4507832000.0,0.31431746,0.006944195,0.023460627
288018,28813009000.0,11643847000.0,3.3680515,0.019606939,0.026815318
289427,58899403000.0,9808549000.0,0.00034389796,0.02326991,0.023779733
289946,68617523000.0,44050817000.0,0.06117769,0.0081943795,0.02271225
290644,78539290000.0,54457463000.0,0.8929374,0.011553155,0.02264773
291113,98030500000.0,1083381500000.0,0.037242875,0.007122688,0.020135868
291115,36166627000.0,40333152000.0,0.08040119,0.012391662,0.025902508
292356,74049070000.0,10923503000.0,0.0014699568,0.015480456,0.021247376
292357,37087474000.0,50569420000.0,1.8335316,0.013611467,0.022817597
292922,58202560000.0,5465888300.0,0.21392967,0.009740969,0.023079997
292923,62293316000.0,220495580.0,0.009402629,0.006982436,0.027450034
293441,68717404000.0,51096863000.0,3.245269,0.015608106,0.023193551
294513,39406707000.0,5407744500.0,1.4781526,0.013014105,0.026972588
295078,41814790000.0,30001443000.0,0.85945153,0.008296414,0.022487108
295079,53765600000.0,27209440000.0,1.7270398,0.015244595,0.025282038
295675,98396370000.0,139946700000.0,1.7069544,0.005959146,0.020779284
295676,46000865000.0,63211487000.0,2.788962,0.015844783,0.022044128
295677,38063665000.0,92734325000.0,2.397731,0.011327952,0.021446615
296303,31353287000.0,21397363000.0,1.3920655,0.035671648,0.022412438
296788,45776454000.0,41714164000.0,3.5978372,0.023357477,0.02124362
297211,37494927000.0,15394634000.0,3.1579545,0.029780107,0.023717878
298207,99755020000.0,105304350000.0,4.0069227,0.020387106,0.023477837
298208,36703340000.0,35955683000.0,0.006196886,0.0066238814,0.025586579
298894,26960378000.0,8334998000.0,2.252678,0.025597394,0.025297381
299430,64231133000.0,82077140000.0,0.00078827894,0.010387987,0.019950066
299937,32462178000.0,4450375700.0,0.6059997,0.012865075,0.023627166
300569,91100080000.0,34289793000.0,0.8217732,0.020610306,0.02364027
301129,28249373000.0,64425378000.0,0.10336045,0.017699897,0.022221277
301747,86743060000.0,50201387000.0,0.09458848,0.01872953,0.02361477
301748,58402062000.0,42053180000.0,0.07341046,0.014336133,0.02622097
306059,46987030000.0,20746363000.0,0.7033723,0.01550046,0.022682106
306060,32563878000.0,16920739000.0,2.2079866,0.02635797,0.022169635
306061,35880042000.0,22659097000.0,13.5271225,0.021803739,0.020013224
306517,60854284000.0,46726685000.0,7.1850586,0.020810321,0.024934212
306947,37559153000.0,67860464000.0,6.920202,0.019231152,0.023154682
307440,28767760000.0,3454685200.0,0.061551575,0.036186703,0.025224872
309428,90830310000.0,899873440000.0,0.2315552,0.011624667,0.028523473
309429,52145738000.0,50260790000.0,0.2082504,0.011841256,0.024599703
309430,31767405000.0,52222345000.0,4.397254,0.01730299,0.023438191
309952,72342630000.0,89109700000.0,1.1388651,0.010162392,0.023255557
311303,87777700000.0,35875303000.0,0.1012345,0.010155732,0.023346525
311304,32221190000.0,65158283000.0,4.630293,0.028191762,0.023153659
312414,43077644000.0,20090420000.0,1.5055802,0.024436602,0.024822164
312892,37871680000.0,59976946000.0,1.7491304,0.032809217,0.025686298
313404,35187446000.0,5231262700.0,11.976004,0.03394095,0.03308367
313955,51734155000.0,19598316000.0,1.5100676,0.01739056,0.02161649
314366,40573923000.0,51273220000.0,3.6884856,0.01994633,0.023613667
314367,33746215000.0,19144040000.0,1.6056101,0.010926877,0.020854926
314771,25997806000.0,34422900000.0,0.78697556,0.02535912,0.021249665
314772,26533134000.0,23463397000.0,0.77456033,0.0225725,0.020918578
317712,66169774000.0,9690926000.0,0.5149982,0.004914718,0.02513543
318211,98983320000.0,52376527000.0,0.43924657,0.017925607,0.022796314
318212,36519910000.0,172862160000.0,1.1814821,0.029345248,0.022249918
319144,83493720000.0,573765060000.0,0.10305592,0.009477519,0.025573798
319146,31819287000.0,43271710000.0,1.9981991,0.017951865,0.022902751
319644,39765557000.0,866951000.0,0.0052737063,0.011417632,0.024282739
320735,93725090000.0,538791540000.0,6.6046734,0.012095076,0.018973589
321675,46349976000.0,25516018000.0,0.013660566,0.012728914,0.023305988
321676,31870087000.0,64982495000.0,4.235786,0.024164857,0.021164598
322161,41536426000.0,66305196000.0,0.07520505,0.014996654,0.022556014
322162,27429130000.0,72122520000.0,3.3637803,0.016373036,0.014871483
322581,97311170000.0,753005300000.0,0.012310578,0.00674052,0.023498459
322582,55178162000.0,38030148000.0,1.7911859,0.011278816,0.021541856
322584,33379062000.0,16267233000.0,4.869832,0.027816107,0.022780377
322980,63834850000.0,2349132300.0,0.0062566046,0.009060676,0.023996208
323456,36536060000.0,444934370.0,0.009950352,0.005102778,0.024113739
324128,41729843000.0,4568389600.0,0.034014266,0.012145094,0.02574257
324573,34877990000.0,18205411000.0,2.605329,0.027990097,0.02460164
324998,33663270000.0,18806620000.0,0.00039673597,0.010860182,0.0242912
325336,85947590000.0,23763722000.0,0.0015376483,0.008896326,0.02898653
325337,51835335000.0,112185040000.0,7.717901,0.01771542,0.02077508
325810,25843157000.0,6249495600.0,0.21385105,0.031694982,0.025170682
326218,72000410000.0,119505530000.0,4.069332,0.017875971,0.0231051
328251,83001290000.0,249584070000.0,0.36228216,0.0058893,0.02530095
328253,38692856000.0,15344455000.0,0.55398875,0.0076386454,0.022413675
328678,48107954000.0,26516083000.0,3.1314955,0.02794413,0.02412037
329106,26749127000.0,64173167000.0,1.4671407,0.01597236,0.017007925
329850,44312117000.0,59458277000.0,5.5514765,0.025510168,0.020978918
329851,61720140000.0,14349293000.0,0.7187674,0.01230174,0.021241045
331702,38405755000.0,25131670000.0,3.0856206,0.026203137,0.020205427
332068,97894530000.0,310235530000.0,0.053873345,0.011009461,0.022581883
332070,86175080000.0,49145532000.0,2.2737324,0.020973757,0.020952156
333259,47930040000.0,10992783000.0,0.85049325,0.040244285,0.024673129
333260,26214664000.0,25001114000.0,2.4337842,0.024066277,0.02244253
333261,34947043000.0,107947350.0,0.00121,0.0072667315,0.02743518
333674,79156360000.0,21629725000.0,19.986458,0.027315227,0.024236228
334030,58806575000.0,1914533500.0,0.57983094,0.01311817,0.027465645
334351,44320297000.0,699463500.0,0.12744205,0.016069815,0.036749605
334728,37020180000.0,26782804000.0,0.47229472,0.011286747,0.022415036
335487,29203646000.0,40484430000.0,2.520539,0.021837246,0.023781324
337843,99846740000.0,182036760000.0,0.10268079,0.008699992,0.02413552
337844,35426530000.0,48063267000.0,4.2504053,0.023859188,0.020917615
337845,30558622000.0,27774423000.0,9.15658,0.020688478,0.025875777
340586,43444613000.0,23809786000.0,18.991888,0.018308386,0.022394244
341683,91740610000.0,581936500000.0,0.3689036,0.007693462,0.019210959
341684,30096605000.0,61795380000.0,1.3199418,0.021157056,0.022121077
341685,45184606000.0,22933492000.0,2.7600977,0.03014269,0.02328777
343639,34665165000.0,22215506000.0,0.0005672349,0.0032118822,0.023028009
